nflverse_game_id,week,posteam,defteam,defense_personnel,defense_id,short_name,position_group,snaps
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0033878,A.Jackson,DB,32
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0036418,Z.Baun,LB,37
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0037073,J.Davis,DL,32
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0037130,R.Blankenship,DB,37
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0039013,N.Smith,LB,34
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0038412,M.Ojomo,DL,33
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0039888,Q.Mitchell,DB,37
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0039841,C.DeJean,DB,37
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0039740,J.Hunt,LB,27
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0040708,J.Campbell,LB,37
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0040749,A.Mukuba,DB,37
2025_01_DAL_PHI,1,DAL,PHI,p_344,00-0036418,Z.Baun,LB,7
2025_01_DAL_PHI,1,DAL,PHI,p_344,00-0037073,J.Davis,DL,6
2025_01_DAL_PHI,1,DAL,PHI,p_344,00-0037130,R.Blankenship,DB,7
2025_01_DAL_PHI,1,DAL,PHI,p_344,00-0039013,N.Smith,LB,7
2025_01_DAL_PHI,1,DAL,PHI,p_344,00-0039002,S.Brown,DB,7
2025_01_DAL_PHI,1,DAL,PHI,p_344,00-0038978,B.Young,DL,7
2025_01_DAL_PHI,1,DAL,PHI,p_344,00-0038412,M.Ojomo,DL,7
2025_01_DAL_PHI,1,DAL,PHI,p_344,00-0039888,Q.Mitchell,DB,7
2025_01_DAL_PHI,1,DAL,PHI,p_344,00-0039841,C.DeJean,DB,7
2025_01_DAL_PHI,1,DAL,PHI,p_344,00-0039740,J.Hunt,LB,7
2025_01_DAL_PHI,1,DAL,PHI,p_344,00-0040708,J.Campbell,LB,7
2025_01_DAL_PHI,1,DAL,PHI,p_434,00-0036418,Z.Baun,LB,4
2025_01_DAL_PHI,1,DAL,PHI,p_434,00-0037073,J.Davis,DL,4
2025_01_DAL_PHI,1,DAL,PHI,p_434,00-0037130,R.Blankenship,DB,4
2025_01_DAL_PHI,1,DAL,PHI,p_434,00-0039013,N.Smith,LB,4
2025_01_DAL_PHI,1,DAL,PHI,p_434,00-0038978,B.Young,DL,4
2025_01_DAL_PHI,1,DAL,PHI,p_434,00-0038412,M.Ojomo,DL,4
2025_01_DAL_PHI,1,DAL,PHI,p_434,00-0039888,Q.Mitchell,DB,4
2025_01_DAL_PHI,1,DAL,PHI,p_434,00-0039841,C.DeJean,DB,4
2025_01_DAL_PHI,1,DAL,PHI,p_434,00-0039740,J.Hunt,LB,1
2025_01_DAL_PHI,1,DAL,PHI,p_434,00-0039265,G.Hall,DL,1
2025_01_DAL_PHI,1,DAL,PHI,p_434,00-0040749,A.Mukuba,DB,1
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0032052,D.Fowler,DL,11
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0033120,K.Clark,DL,18
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0033877,M.Hooker,DB,28
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0035301,D.Wilson,DB,28
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0036441,K.Murray,LB,28
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0036942,O.Odighizuwa,DL,14
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0037242,K.Elam,DB,28
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0037665,S.Williams,LB,14
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0037275,D.Bland,DB,28
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0037281,D.Clark,LB,22
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0037109,J.Sanborn,LB,28
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0033870,S.Thomas,DL,14
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0039900,M.Kneeland,DL,17
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0040725,D.Ezeiruaku,LB,9
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0040019,J.Toia,DL,10
2025_01_DAL_PHI,1,PHI,DAL,p_434,00-0033120,K.Clark,DL,2
2025_01_DAL_PHI,1,PHI,DAL,p_434,00-0033870,S.Thomas,DL,2
2025_01_DAL_PHI,1,PHI,DAL,p_434,00-0033877,M.Hooker,DB,2
2025_01_DAL_PHI,1,PHI,DAL,p_434,00-0035301,D.Wilson,DB,2
2025_01_DAL_PHI,1,PHI,DAL,p_434,00-0036441,K.Murray,LB,2
2025_01_DAL_PHI,1,PHI,DAL,p_434,00-0036942,O.Odighizuwa,DL,2
2025_01_DAL_PHI,1,PHI,DAL,p_434,00-0037242,K.Elam,DB,2
2025_01_DAL_PHI,1,PHI,DAL,p_434,00-0037665,S.Williams,LB,2
2025_01_DAL_PHI,1,PHI,DAL,p_434,00-0037275,D.Bland,DB,2
2025_01_DAL_PHI,1,PHI,DAL,p_434,00-0040725,D.Ezeiruaku,LB,2
2025_01_DAL_PHI,1,PHI,DAL,p_434,00-0040019,J.Toia,DL,2
2025_01_DAL_PHI,1,PHI,DAL,p_245,00-0032052,D.Fowler,DL,4
2025_01_DAL_PHI,1,PHI,DAL,p_245,00-0033877,M.Hooker,DB,5
2025_01_DAL_PHI,1,PHI,DAL,p_245,00-0035301,D.Wilson,DB,5
2025_01_DAL_PHI,1,PHI,DAL,p_245,00-0036441,K.Murray,LB,5
2025_01_DAL_PHI,1,PHI,DAL,p_245,00-0036361,T.Diggs,DB,5
2025_01_DAL_PHI,1,PHI,DAL,p_245,00-0036942,O.Odighizuwa,DL,5
2025_01_DAL_PHI,1,PHI,DAL,p_245,00-0037242,K.Elam,DB,5
2025_01_DAL_PHI,1,PHI,DAL,p_245,00-0037665,S.Williams,LB,5
2025_01_DAL_PHI,1,PHI,DAL,p_245,00-0037275,D.Bland,DB,5
