nflverse_game_id,week,posteam,defteam,offense_personnel,offense_id,short_name,position_group,snaps
2025_01_DAL_PHI,1,DAL,PHI,p_113,00-0036358,C.Lamb,WR,43
2025_01_DAL_PHI,1,DAL,PHI,p_113,00-0036997,J.Williams,RB,37
2025_01_DAL_PHI,1,DAL,PHI,p_113,00-0037247,G.Pickens,WR,45
2025_01_DAL_PHI,1,DAL,PHI,p_113,00-0037666,J.Tolbert,WR,21
2025_01_DAL_PHI,1,DAL,PHI,p_113,00-0038041,J.Ferguson,TE,38
2025_01_DAL_PHI,1,DAL,PHI,p_113,00-0037801,K.Turpin,WR,26
2025_01_DAL_PHI,1,DAL,PHI,p_113,00-0038547,L.Schoonmaker,TE,5
2025_01_DAL_PHI,1,DAL,PHI,p_113,00-0038738,H.Luepke,RB,1
2025_01_DAL_PHI,1,DAL,PHI,p_113,00-0039530,B.Spann-Ford,TE,2
2025_01_DAL_PHI,1,DAL,PHI,p_122,00-0036358,C.Lamb,WR,4
2025_01_DAL_PHI,1,DAL,PHI,p_122,00-0036997,J.Williams,RB,3
2025_01_DAL_PHI,1,DAL,PHI,p_122,00-0037247,G.Pickens,WR,4
2025_01_DAL_PHI,1,DAL,PHI,p_122,00-0038041,J.Ferguson,TE,2
2025_01_DAL_PHI,1,DAL,PHI,p_122,00-0038547,L.Schoonmaker,TE,4
2025_01_DAL_PHI,1,DAL,PHI,p_221,00-0036997,J.Williams,RB,2
2025_01_DAL_PHI,1,DAL,PHI,p_221,00-0037666,J.Tolbert,WR,2
2025_01_DAL_PHI,1,DAL,PHI,p_221,00-0038547,L.Schoonmaker,TE,3
2025_01_DAL_PHI,1,DAL,PHI,p_221,00-0038738,H.Luepke,RB,3
2025_01_DAL_PHI,1,DAL,PHI,p_221,00-0039530,B.Spann-Ford,TE,3
2025_01_DAL_PHI,1,PHI,DAL,p_113,00-0034844,S.Barkley,RB,24
2025_01_DAL_PHI,1,PHI,DAL,p_113,00-0034351,D.Goedert,TE,25
2025_01_DAL_PHI,1,PHI,DAL,p_113,00-0035676,A.Brown,WR,30
2025_01_DAL_PHI,1,PHI,DAL,p_113,00-0036912,D.Smith,WR,30
2025_01_DAL_PHI,1,PHI,DAL,p_113,00-0037741,J.Dotson,WR,28
2025_01_DAL_PHI,1,PHI,DAL,p_122,00-0034844,S.Barkley,RB,17
2025_01_DAL_PHI,1,PHI,DAL,p_122,00-0034351,D.Goedert,TE,15
2025_01_DAL_PHI,1,PHI,DAL,p_122,00-0035676,A.Brown,WR,20
2025_01_DAL_PHI,1,PHI,DAL,p_122,00-0036912,D.Smith,WR,21
2025_01_DAL_PHI,1,PHI,DAL,p_122,00-0037086,G.Calcaterra,TE,21
2025_01_DAL_PHI,1,PHI,DAL,p_131,00-0034844,S.Barkley,RB,8
2025_01_DAL_PHI,1,PHI,DAL,p_131,00-0034351,D.Goedert,TE,8
2025_01_DAL_PHI,1,PHI,DAL,p_131,00-0036912,D.Smith,WR,4
2025_01_DAL_PHI,1,PHI,DAL,p_131,00-0036876,K.Granson,TE,8
2025_01_DAL_PHI,1,PHI,DAL,p_131,00-0037086,G.Calcaterra,TE,8
2025_01_DAL_PHI,1,PHI,DAL,p_113,00-0039746,W.Shipley,RB,4
2025_01_DAL_PHI,1,DAL,PHI,p_212,00-0036358,C.Lamb,WR,4
2025_01_DAL_PHI,1,DAL,PHI,p_212,00-0036997,J.Williams,RB,3
2025_01_DAL_PHI,1,DAL,PHI,p_212,00-0037247,G.Pickens,WR,4
2025_01_DAL_PHI,1,DAL,PHI,p_212,00-0038547,L.Schoonmaker,TE,1
2025_01_DAL_PHI,1,DAL,PHI,p_212,00-0038738,H.Luepke,RB,4
2025_01_DAL_PHI,1,DAL,PHI,p_113,00-0035243,M.Sanders,RB,7
2025_01_DAL_PHI,1,DAL,PHI,p_131,00-0036997,J.Williams,RB,1
2025_01_DAL_PHI,1,DAL,PHI,p_131,00-0037666,J.Tolbert,WR,1
2025_01_DAL_PHI,1,DAL,PHI,p_131,00-0038041,J.Ferguson,TE,2
2025_01_DAL_PHI,1,DAL,PHI,p_131,00-0038547,L.Schoonmaker,TE,2
2025_01_DAL_PHI,1,DAL,PHI,p_131,00-0039530,B.Spann-Ford,TE,2
2025_01_DAL_PHI,1,DAL,PHI,p_212,00-0039530,B.Spann-Ford,TE,1
2025_01_DAL_PHI,1,PHI,DAL,p_131,00-0035676,A.Brown,WR,4
2025_01_DAL_PHI,1,PHI,DAL,p_113,00-0037086,G.Calcaterra,TE,5
2025_01_DAL_PHI,1,PHI,DAL,p_122,00-0039746,W.Shipley,RB,1
2025_01_DAL_PHI,1,DAL,PHI,p_122,00-0035243,M.Sanders,RB,1
2025_01_DAL_PHI,1,DAL,PHI,p_122,00-0039530,B.Spann-Ford,TE,2
2025_01_DAL_PHI,1,DAL,PHI,p_131,00-0035243,M.Sanders,RB,1
2025_01_DAL_PHI,1,DAL,PHI,p_131,00-0036358,C.Lamb,WR,1
2025_01_DAL_PHI,1,DAL,PHI,p_014,00-0036358,C.Lamb,WR,2
2025_01_DAL_PHI,1,DAL,PHI,p_014,00-0037801,K.Turpin,WR,2
2025_01_DAL_PHI,1,DAL,PHI,p_014,00-0037247,G.Pickens,WR,2
2025_01_DAL_PHI,1,DAL,PHI,p_014,00-0037666,J.Tolbert,WR,2
2025_01_DAL_PHI,1,DAL,PHI,p_014,00-0038041,J.Ferguson,TE,2
2025_01_DAL_PHI,1,PHI,DAL,p_113,00-0037614,J.Metchie,WR,1
2025_01_DAL_PHI,1,PHI,DAL,p_122,00-0036265,A.Dillon,RB,3
2025_01_DAL_PHI,1,PHI,DAL,p_122,00-0036876,K.Granson,TE,6
2025_01_DAL_PHI,1,DAL,PHI,p_212,00-0038041,J.Ferguson,TE,2
2025_01_DAL_PHI,1,DAL,PHI,p_221,00-0036358,C.Lamb,WR,1
2025_01_DAL_PHI,1,DAL,PHI,p_212,00-0035243,M.Sanders,RB,1
2025_01_DAL_PHI,1,DAL,PHI,p_221,00-0035243,M.Sanders,RB,1
2025_01_DAL_PHI,1,PHI,DAL,p_122,00-0040024,D.Cooper,WR,1
2025_01_DAL_PHI,1,PHI,DAL,p_113,00-0036265,A.Dillon,RB,2
2025_01_DAL_PHI,1,PHI,DAL,p_113,00-0040024,D.Cooper,WR,1
2025_01_KC_LAC,1,KC,LAC,p_113,00-0030506,T.Kelce,TE,35
2025_01_KC_LAC,1,KC,LAC,p_113,00-0033857,J.Smith-Schuster,WR,39
2025_01_KC_LAC,1,KC,LAC,p_113,00-0035662,M.Brown,WR,43
2025_01_KC_LAC,1,KC,LAC,p_113,00-0037197,I.Pacheco,RB,23
2025_01_KC_LAC,1,KC,LAC,p_113,00-0039894,X.Worthy,WR,2
2025_01_KC_LAC,1,KC,LAC,p_122,00-0030506,T.Kelce,TE,10
2025_01_KC_LAC,1,KC,LAC,p_122,00-0035662,M.Brown,WR,12
2025_01_KC_LAC,1,KC,LAC,p_122,00-0036637,N.Gray,TE,12
2025_01_KC_LAC,1,KC,LAC,p_122,00-0039894,X.Worthy,WR,1
2025_01_KC_LAC,1,KC,LAC,p_122,00-0040078,B.Smith,RB,2
2025_01_KC_LAC,1,KC,LAC,p_113,00-0033923,K.Hunt,RB,15
2025_01_KC_LAC,1,KC,LAC,p_113,00-0038104,T.Thornton,WR,39
