nflverse_game_id,week,posteam,defteam,p_113,p_122,p_221,p_131,p_212,p_014,p_103,p_112,p_111,p_104,p_121,p_230,p_211,p_120,p_023,p_130,p_140,p_123,p_114,p_203,p_220,p_234,p_032,p_102,p_202,p_132,p_041,p_311,p_005,p_141,p_031,p_020,p_320,p_010,p_110,p_022,p_213,p_001,p_101,p_301,p_040
2025_01_DAL_PHI,1,DAL,PHI,7.479993361183399,3.500894497788977,-4.703437425778247,-0.7439778426778503,0.7994972032902297,-0.08504023239947855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_DAL_PHI,1,PHI,DAL,10.860189711905392,-2.188363970373757,0,0.7947328701266088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_KC_LAC,1,KC,LAC,8.486862240079017,-2.894621132236759,0,-0.7409351349342614,0,0,0,0,0,0,4.594753774115816,0.9192356745479628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_KC_LAC,1,LAC,KC,8.98601458213434,0.13477948406944051,0,0,0,0,1.230393797508441,1.157695781555958,1.2414140040054917,1.1993179137352854,3.5555260342662223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_TB_ATL,1,ATL,TB,9.905449706912055,-5.196186748857144,-1.1281350081262644,1.4131854182924144,0.6441937579074875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_TB_ATL,1,TB,ATL,9.218053344290643,1.2359773047501221,0,-1.7345726946368814,-0.7632680259412155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_CIN_CLE,1,CIN,CLE,1.2434063513093072,-3.176052432390861,0,-0.3422590047121048,0,0,0,0,0,0,-2.965284411155153,0,0,1.432382985309232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_CIN_CLE,1,CLE,CIN,-1.941385384687949,-3.630442565563772,0,-0.24748917552642524,0,0,0,0,0,0,0,0,2.1819357904605567,1.2024385108961724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_MIA_IND,1,IND,MIA,11.181373368453405,1.1104348762637901,0,3.431774349824991,0,0,0,0,0,0,0.47647289000451565,0,0,0,-0.7483068155124784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_MIA_IND,1,MIA,IND,-4.756905771326274,-1.1569317773245276,-0.2634167607757263,0,-5.893476883415133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_CAR_JAX,1,JAX,CAR,1.7595479980043187,6.722921764101516,0,-0.6676909996313043,-1.7424220922985114,0,0,-0.8977859341425729,0,0,1.3177923232433386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_CAR_JAX,1,CAR,JAX,-9.275017276779524,-3.2383955615223385,0,-1.1378660828340799,0.498621825769078,0,0,0,0,2.0521735423244536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_LV_NE,1,LV,NE,2.408581528508239,7.95261861729991,0,-4.216786602395587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_LV_NE,1,NE,LV,-1.2860588512000852,0.7925368256401271,1.198190369643271,0,-1.4135221623582765,0,0,-1.3222084914907568,0,0,-0.3039275766350329,0,0,0,0,-0.9150150035857223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_ARI_NO,1,ARI,NO,2.614386269334063,-1.4362444505095482,0,1.5295939960633405,0,0.11331955791683868,0,0,0,0,0,0,0,0,0,0,1.2559463963843882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_ARI_NO,1,NO,ARI,-0.17581635544122864,-5.17469022955629,0,0,-0.35512821725569665,0,0,-0.03609549533575773,0,0,0.6286707068793476,0,0,0,0,0.9418589170090854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_PIT_NYJ,1,NYJ,PIT,2.6321336051447295,8.734972091901117,0,0,2.1993015268817544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_PIT_NYJ,1,PIT,NYJ,7.328852605773136,1.5909508775185812,0,0.2033739561738912,1.8935811177361757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_NYG_WAS,1,WAS,NYG,3.6694273695757147,6.123400350130396,0,0,1.1923294079024345,-0.981141795986332,0,0,0,0,0,0,0,0,0.6148809462902136,0,0,0,0,-0.2129376963712275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_NYG_WAS,1,NYG,WAS,0,0,0,-1.377263731585117,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4120067955618718,-7.613906545786149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_TEN_DEN,1,TEN,DEN,-10.428728030804916,-12.495749535155483,0,0,0,0,0,0,0,0,0,0,0,-1.5564745205615522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
